song_id,artists,name,release_date,year,popularity
4Nomj38R7Ds0P8I8orW2Tv,"Lupe Fiasco', 'Trey Songz",Out of My Head (feat. Trey Songz),04/03/2011,2011,49
2H2Tg24kqd1eA3F7BSQFSi,Alejandro Fernández,Qué Voy a Hacer Con Mi Amor,16/08/2011,2011,63
5n44Y1e8exufbm9mmAvopf,Ramin Djawadi,"Goodbye Brother - From The ""Game Of Thrones"" Soundtrack",01/01/2011,2011,56
0tGkExOwqbXyl9rp3gO89b,Hot Chelle Rae,Downtown Girl,25/11/2011,2011,50
6aVJQcBuTixMKRbpZYdohf,Ledisi,Pieces Of Me,01/01/2011,2011,48
6vhRmymsQaWhVegaK7aTDe,Sublime With Rome,Can You Feel It (feat. Wiz Khalifa),08/07/2011,2011,47
5d6nTdahyEnH1TILFC0Tp3,Pierce The Veil,Just The Way You Are,21/11/2011,2011,52
3I4wuL82QeU3IR518TuV33,Florence + The Machine,Only If For A Night,01/01/2011,2011,47
20fQVuio8RcGPleqONoGx6,Alexis y Fido,Camuflaje,21/03/2011,2011,62
0R97k5AJy1udJI6mGV82FJ,3OH!3,Dirty Mind,20/12/2011,2011,51
3FsR3a2GxUmEwnpCy8kQfj,ScHoolboy Q,iBETiGOTSUMWEED,11/01/2011,2011,49
6iw32k0OUKHildYsQTRnVB,Iron & Wine,"Flightless Bird, American Mouth - Wedding Version",04/11/2011,2011,46
3xfaeVCJtqH54aZlJalvdr,Benny,Cielo - 2002,02/08/2011,2011,58
46aIq2GKW7Vr6i4g2Vvycd,Michel Teló,Ai Se Eu Te Pego - Ao Vivo,21/08/2011,2011,64
6cLxNwJmqxLbmbGPP8ulQr,The Script,If You Ever Come Back,18/01/2011,2011,47
5WDlNHQW1LmcQIA15oGjiW,Christina Perri,distance,10/05/2011,2011,53
3GJZLvGXaVszYdSBLMtJFX,"Thomas Bergersen', 'Two Steps from Hell",Strength of a Thousand Men,20/09/2011,2011,59
3L2YOO6dDiB91M1AbQ0CCR,"Kendrick Lamar', 'Colin Munroe",No Make-Up (Her Vice) (feat. Colin Munroe),02/07/2011,2011,50
5LCuFER5mMzL0fGNpClksf,The Black Keys,Sister,06/12/2011,2011,53
7aZDLCAqie3RYzCrBFXOJL,CHEMISTRY,Period,02/03/2011,2011,55
5o5KX1f1JBQ2SxGzE8RQQA,"Lil Wayne', 'Drake', 'Jadakiss",It's Good,01/01/2011,2011,47
2M98FO4fkGec4lzsafk8YY,The Cab,Intoxicated,2011,2011,47
7FiotLvz43ez091HX0bnmQ,George Strait,Ocean Front Property,01/01/2011,2011,47
75Y88Zol5lYhme2YOI544T,Mother Mother,The Stand,15/03/2011,2011,50
1tF370eYXUcWwkIvaq3IGz,Billy Currington,I Got A Feelin',01/01/2011,2011,47
0VamAmertqIxKM5axPSkCy,Juan Magán,Bailando por Ahi,15/05/2011,2011,59
1JyG5yuwpN0VIi4wbqvDfB,"Jason Segel', 'Walter",Man Or Muppet,21/11/2011,2011,49
2uhaDVmfG7pT94VO5jl2r4,"Ricky Martin', 'Natalia Jiménez",Lo Mejor de Mi Vida Eres Tú (feat. Natalia Jiménez),15/11/2011,2011,62
3JhNsyNQSyrsHcnFRHZN1e,Ben Howard,Black Flies,01/01/2011,2011,56
775OxWq9wfVzmVDS0n3zff,Alexandre Desplat,Statues,12/07/2011,2011,46
6C7YFHZnzkSMsR5Hu4xVfL,Childish Gambino,Hold You Down,15/11/2011,2011,49
6WF4hzdGXvXd1joERSXJjm,Coldplay,Hurts Like Heaven,24/10/2011,2011,56
4sLGaMl33I6mcsk7u4xHAU,Radiohead,Codex,18/02/2011,2011,55
31DmTztbIIsv6wSE93S4fZ,La Original Banda El Limón de Salvador Lizárraga,El Mejor Perfume,01/01/2011,2011,54
1U69jy6P8Kz0hdNOuzbRCk,Marco Antonio Solís,Morenita,01/12/2011,2011,56
6jAyMqsMuu7NTmefJVE8Pc,Blind Pilot,Half Moon,13/09/2011,2011,50
3oMgeBTWn2AbLzVHbhmZI6,Skrillex,Reptile's Theme,05/04/2011,2011,46
5zes2uxTNuqNlO6toDTZN5,"JAY-Z', 'Kanye West",Primetime,08/08/2011,2011,51
6eRPYyh1EPRqDhgb3Nardw,Blackmill,Spirit of Life,21/12/2011,2011,50
0Gs5zsjp7Rp2i41yMgNxCf,"Ledisi', 'Jaheim",Stay Together,01/01/2011,2011,47
2aDsxXzs55S9I7THzNoHdD,"Ace Hood', 'Chris Brown",Body 2 Body,01/01/2011,2011,46
0QIcBEx2NtaMkAeqOpnqjL,Grupo Laberinto,El Corrido De La Estrella,11/11/2011,2011,50
5iYUt3rsgrGFU0nugdhYwj,Glee Cast,Rumour Has It / Someone Like You (Glee Cast Version),06/12/2011,2011,57
7Cj2tT0m2SBeIO1PsGfk8A,Bruno Mars,Grenade - Acoustic,08/02/2011,2011,60
2t97pZAsSgraYlocMNhkSe,"Jamie Grace', 'TobyMac",Hold Me (feat. Tobymac),20/09/2011,2011,48
0kZEfdlIq3sfQklsGcUZDm,C418,Droopy Likes Your Face,04/03/2011,2011,51
2X42KFgnOSaxOHMG0nDOdj,Jason Derulo,Fight for You,16/09/2011,2011,57
3JWkjpMCesLuBbz2LMMDgz,"Shwayze', 'Cisco Adler",Drunk Off Your Love (feat. Sky Blu of LMFAO),13/09/2011,2011,48
34LcXo2NQttotmy7XzlKsY,"Kaskade', 'Mindy Gledhill",Eyes,08/11/2011,2011,50
4kgEQKp5Y4ltlxM9rh4jXW,Los Tigres Del Norte,Contrabando Y Traición,01/01/2011,2011,55
0ni8h8HAJNFwuL9cMWR9XN,Clutch,The Regulator,10/05/2011,2011,48
6uBexmz61ckt5XQRqTgF3M,The Cave Singers,Distant Sures,22/02/2011,2011,53
05wB0mSpDASexc98oKZCOw,Brown Bird,Bilgewater,18/10/2011,2011,47
